Second,Class
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
48,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
63,0
65,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
114,0
115,0
117,0
118,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
145,0
146,0
147,0
148,0
154,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
10,74
11,74
12,74
14,74
15,74
16,74
17,74
25,74
26,74
33,74
34,74
43,74
46,74
47,74
48,74
49,74
50,74
51,74
52,74
53,74
58,74
59,74
60,74
61,74
62,74
63,74
64,74
65,74
66,74
67,74
68,74
69,74
70,74
71,74
72,74
73,74
74,74
75,74
76,74
77,74
85,74
86,74
89,74
90,74
91,74
92,74
93,74
98,74
99,74
100,74
102,74
103,74
104,74
105,74
106,74
107,74
108,74
109,74
110,74
112,74
113,74
114,74
115,74
116,74
117,74
118,74
119,74
120,74
121,74
122,74
123,74
124,74
125,74
126,74
127,74
128,74
129,74
130,74
131,74
145,74
149,74
150,74
151,74
151,74
152,74
153,74
154,74
155,74
156,74
157,74
158,74
159,74
160,74
161,74
162,74
163,74
170,74
171,74
172,74
173,74
174,74
175,74
176,74
177,74
180,74
181,74
182,74
184,74
185,74
186,74
187,74
188,74
189,74
190,74
191,74